id,text_no_spaces,predicted_positions
515,Хватитнамдвоимсголовою,"[6, 9, 14, 15]"
516,Хочешьмореспарусами,"[6, 10, 11]"
517,Хочешьмузыкновыхсамых,"[6, 11, 16]"
518,Хочешьяубьюсоседей,"[6, 7, 11, 12]"
519,Хочешьсолнцевместолампы,"[6, 13, 18]"
520,ХочешьзаокошкомАльпы,"[6, 8, 15]"
521,Хочешьяотдамвсепесни,"[6, 7, 12, 15]"
522,Протебяотдамвсепесни,"[3, 7, 12, 15]"
523,"Яискалатебягодамидолгими,","[1, 2, 7, 11, 17]"
524,Искалатебядворамитемными.,"[1, 6, 10, 17]"
525,"Вжурналах,вкино,средидрузей.","[1, 10, 11, 16, 21]"
526,"Вдень,когданашла,сумасошла.","[1, 6, 11, 17, 18, 21]"
527,"Ты,совсемкаквосне,","[3, 9, 12, 13, 14]"
528,"Совсемкаквальбомах,","[6, 9, 10]"
529,Гдеярисовалатебягуашью.,"[3, 4, 12, 16]"
530,"Дальшебылизвонки,ночныебольше.","[6, 10, 17, 23]"
531,"Слезы,нервы,любовьистрелкивПольше.","[6, 12, 18, 19, 26, 27]"
532,"Дети,нонемои,старыезазнобы,","[5, 7, 9, 13, 19, 21]"
533,"Куришькаждыепять,мыусталиоба.","[6, 12, 17, 19, 25]"
534,...годамидолгими.,[9]
535,...ночамитемными.,[9]
536,"Искалатебядворамитемными,","[1, 6, 10, 17]"
537,"Вжурналах,вкино,годамидолгими,","[1, 10, 11, 16, 22]"
538,"Искалатебяночами,чами,чами,чами...","[1, 6, 10, 17, 22, 27]"
539,Большиегорода,[7]
540,Пустыепоезда,[6]
541,Нибереганидна,"[2, 4, 8, 9, 10]"
542,Всеначинатьсначала,"[3, 11, 12]"
543,Холоднаявойна,[8]
544,Ивремякаквода,"[1, 6, 9]"
545,Оннесошелсума,"[2, 4, 9, 10]"
546,Тыничегонезнала,"[2, 8, 10]"
547,Полковникуниктонепишет,"[10, 15, 17]"
548,Полковниканиктонеждет,"[10, 15, 17]"
549,Налинииогня,"[2, 7]"
550,Пустыегорода,[6]
551,Вкоторыхникогда,"[1, 8]"
552,Тыраньшенебывала,"[2, 8, 10]"
553,Ирвутсяпоезда,"[1, 7]"
554,Натонкиеслова,"[2, 8]"
555,Ясижуисмотрювчужоенебоизчужогоокна,"[1, 5, 6, 12, 13, 18, 22, 24, 30]"
556,Иневижуниоднойзнакомойзвезды.,"[1, 3, 7, 9, 14, 22]"
557,"Яходилповсемдорогамитуда,исюда,","[1, 6, 8, 12, 19, 20, 25, 26]"
558,Обернулся-инесмогразглядетьследы.,"[9, 10, 11, 13, 17, 27]"
559,"Ноеслиестьвкарманепачкасигарет,","[2, 6, 10, 11, 18, 23]"
560,Значитвсенетакужплохонасегодняшнийдень.,"[6, 9, 11, 14, 16, 21, 23, 34]"
561,"Ибилетнасамолетссеребристымкрылом,","[1, 3, 6, 8, 15, 16, 27]"
562,"Что,взлетая,оставляетземлелишьтень.","[4, 12, 21, 26, 30]"
563,"Иниктонехотелбытьвиноватымбезвина,","[1, 6, 8, 13, 17, 26, 29]"
564,"Иниктонехотелрукамижарзагребать,","[1, 6, 8, 13, 18, 19, 22]"
565,"Абезмузыкинамирусмертьнекрасна,","[1, 4, 10, 12, 16, 22, 24]"
566,Абезмузыкинехочетсяпропадать.,"[1, 4, 9, 10, 12, 19]"
567,"Призрачновсевэтоммиребушующем,","[9, 12, 13, 17, 21]"
568,Естьтолькомиг-занегоидержись.,"[4, 10, 13, 14, 16, 20, 21]"
569,"Естьтолькомигмеждупрошлымибудущим,-","[4, 10, 13, 18, 25, 26, 34]"
570,Именноонназываетсяжизнь.,"[6, 8, 18]"
571,"Вечныйпокойсердцеврядлиобрадует,","[6, 11, 17, 18, 21, 23]"
572,Вечныйпокой-дляседыхпирамид.,"[6, 11, 12, 15, 20]"
573,"Адлязвезды,чтосорваласьипадает","[1, 4, 11, 14, 23, 24]"
574,"Естьтолькомиг,ослепительныймиг.","[4, 10, 14, 27]"
575,"Пустьэтотмирвдальлетитсквозьстолетия,","[5, 9, 12, 13, 17, 22, 28]"
576,"Ноневсегдаподорогемнесним,","[2, 4, 10, 12, 18, 21, 22]"
577,"Чемдорожу,чемрискуюнасветея?","[3, 10, 13, 19, 21, 26]"
578,"Мигомодним,толькомигомодним.","[5, 11, 17, 18, 22]"
579,Счастьеданоповстречатьильбедуеще,"[7, 11, 22, 29]"
580,Естьтолькомиг-занегоидержись!,"[4, 10, 13, 14, 16, 20, 21]"
581,Волкиуходятвнебеса.,"[5, 11, 12, 14]"
582,Горятхолодныеглаза.,"[5, 13]"
583,Приказаверитьвчудеса,"[5, 7, 13, 14, 18]"
584,Непоступало.,[2]
585,"Икаждыйденьдругаяцель,","[1, 7, 11, 17]"
586,"Тостеныгор,тогорыстен","[2, 7, 11, 15]"
587,Иждётотчаянныхгостей,"[1, 5, 14]"
588,Чужаястая.,[5]
589,"Спиной,",[1]
590,Кветруивсёже,"[1, 6, 7, 10]"
591,Вырватьсяможет,[9]
592,Чья-тодуша.,[6]
593,"Спасёт,",[]
594,Нонепоможет,"[2, 4]"
595,"Чувствуюкожей,",[8]
596,Пропащая.,[]
597,"Непомнятслов,невидятснов","[2, 8, 13, 15, 20]"
598,Перерослисвоихотцов.,"[9, 14]"
599,"И,кажется,рукабойцов","[2, 10, 14]"
600,Колотьустала.,[6]
601,Позорислававихкрови,"[5, 6, 11, 12, 14]"
602,Хватаетсмертиилюбви,"[7, 13, 14]"
603,Носкольковолканекорми,"[2, 9, 14, 16]"
604,Емувсемало.,"[3, 6]"
605,"Волкиуходят,",[5]
606,Волкиуходят...,[5]
607,"Всёизчегомоисомнениясотканы,тонко.","[3, 5, 9, 12, 20, 21, 28]"
608,"Какойчудесныйдень,мояструитсялень","[5, 13, 18, 21, 29]"
609,Награнипросветления,"[2, 6, 7]"
610,Сияетшамбалаинежитсядуша,"[5, 12, 13, 15, 20]"
611,Внирваневоскресения.,"[1, 8]"
612,"О,каклегкомоивоспоминаниявыцвели","[2, 5, 8, 10, 13, 25]"
613,Ктоятакойипочемусбиваютсямысли.,"[3, 4, 9, 10, 16, 25]"
614,"Верхомназвезде,","[6, 8]"
615,"Вцепившисьвлучи,","[3, 10, 11]"
616,Слунойнаповодке,"[6, 8]"
617,Вночи,[1]
618,Верхомназвезде,"[6, 8]"
619,"Несусьнавстречуветрам,","[6, 8, 15]"
620,Кнесбывшейсямечте,"[1, 4, 12]"
621,Иснам,"[1, 2]"
622,"О,жизнь,тыпрекрасна,","[2, 8, 10]"
623,"О,жизнь,тыпрекраснавполне.","[2, 8, 10, 17, 19]"
624,Бываешьнемногоопасна.О-е.,"[7, 14]"
625,"Возьмимоесердце,","[5, 6, 9]"
626,"Храни,вспоминайобомне,","[6, 15, 18]"
627,"Поверьмне,чтовсененапрасно.","[6, 10, 13, 16, 18]"
628,"Надлесом,рекой,","[3, 9]"
629,Потеряннавсегда,"[7, 9]"
630,Покой.,[2]
631,Верхомназвезде.,"[6, 8]"
632,Mitornodiaboloesta.,"[5, 10, 17]"
633,Билетводинконец—,"[5, 6, 10, 15]"
634,Весна,[3]
635,Исоздалэтотмир,"[1, 7, 11]"
636,Ясам,[1]
637,Верьмне…,"[4, 7]"
638,Ямаленькаялошадка,"[1, 10]"
639,Имнеживётсянесладко,"[1, 4, 11, 13]"
640,Мнетруднонестимоюношу,"[3, 9, 11, 16, 17]"
641,"Настанетдень,ияеёброшу","[8, 13, 14, 15, 17]"
642,Ностоюоченьмногоденег,"[2, 3, 6, 11, 16]"
643,Иявезусвоюбольшуюповозку,"[1, 2, 6, 10, 17]"
644,Стогонаэтотберег,"[1, 5, 7, 11]"
645,"Мнехочетсяплакать,мнехочетсясмеяться","[3, 10, 18, 21, 28]"
646,"Мнехочетсяпрыгать,валятьсяибрыкаться","[3, 10, 18, 26, 27]"
647,"Чтобыбылидрузьяили,хотябыодин","[5, 9, 15, 19, 23, 25]"
648,"Нояработаю,каквол,вмоейтележкекокаин","[2, 3, 11, 14, 18, 19, 23, 30, 35]"
649,"Яумруоченьрано,иязнаюобэтом","[1, 5, 10, 15, 16, 17, 21, 23]"
650,"Можетбытьневесной,можетбытьраннимлетом","[5, 9, 18, 23, 27, 33]"
651,"Ялюблюслушатьпесни,икостранюхатьдым","[1, 6, 13, 19, 20, 21, 27, 32]"
652,"Нонельзямнеотвлекаться,явезукокаин","[2, 8, 9, 11, 23, 24, 28, 32, 33]"
653,"Яусталаужасно,яхочуотдохнуть","[1, 7, 14, 15, 19]"
654,Съестьмешковдесятьсенаинадолгоуснуть,"[6, 11, 12, 18, 22, 23, 30]"
655,Яхочукперелётнымптицамвклинитьсявклин,"[1, 5, 6, 16, 22, 32, 33]"
656,"Ноработаважней,заспинойкокаин","[2, 8, 15, 17, 23, 28]"
657,"Мнепротивноитрудно,нонельзяотступить","[3, 11, 12, 19, 21, 27]"
658,"Хотьихочетсяесть,хотьихочетсяпить","[4, 5, 12, 17, 21, 22, 29]"
659,Мыкогда-нибудьзаэтовадскомпламенисгорим,"[2, 7, 8, 14, 16, 19, 20, 26, 31, 33, 34]"
660,"Новсёэтопотом,авданныймоменткокаин","[2, 5, 8, 14, 15, 16, 22, 28]"
661,"Мнеобидно,икапаютслёзы","[3, 10, 11, 17]"
662,Когдамнеподногикидаютрозы,"[5, 8, 15, 17, 21]"
663,Когдалюдинаулицахивокнахквартир,"[5, 9, 11, 17, 18, 19, 24]"
664,Менявстречаютиустраиваютпирнавесьмир,"[4, 13, 14, 24, 27, 29, 33]"
665,Мнерадыдажемалыедети,"[3, 7, 11, 16]"
666,Мнемашутдажедеревьевветви,"[3, 8, 12, 19, 20]"
667,"Меняприветствуютвсе,все,какодин","[4, 16, 20, 24, 27]"
668,Япривезлаимновыймир,"[1, 9, 11, 16]"
669,Япривезлакокаин,"[1, 9, 10, 14]"
670,ВпиласьзанозойвсердцемоестрелаКупидона,"[7, 9, 14, 15, 21, 24, 30, 34]"
671,Хочетсявытащитьиникогданедуматьобэтом,"[7, 15, 16, 23, 25, 31, 33]"
672,Больнестерпимаимнедосихпорбыланезнакома,"[4, 6, 7, 14, 15, 16, 18, 20, 23, 26, 30, 32]"
673,Солнцебезжалостновыжглоглазасвоимяркимсветом,"[6, 17, 23, 26, 28, 33, 38]"
674,"Однаонаповсюду,гдебынескрылсяя","[4, 7, 9, 15, 18, 20, 22, 29]"
675,Вовсехглазахилицахтолькооднаона,"[2, 6, 12, 13, 18, 24, 28]"
676,"Большенетместа,гдебыямогзализыватьраны","[6, 9, 15, 18, 20, 21, 24, 27, 34]"
677,Крыльяразбитыителомоевовластигангрены,"[6, 13, 14, 18, 21, 23, 29]"
678,"Силбольшенет,нетсна,лишьстрахпостоянный","[3, 9, 13, 16, 20, 24, 29]"
679,Лишьголоствойвмоейголовеибелыестены,"[4, 13, 14, 18, 24, 25, 30]"
680,Лишьоднаона,"[4, 8]"
681,ВпилосьзанозойвсердцемоестрелаКупидона,"[7, 9, 14, 15, 21, 24, 30, 34]"
682,Злобныйуродецникакнеоставитвпокое,"[7, 13, 18, 20, 27, 28]"
683,"Пустьбудетбольно,силынайдуивыдернускорнем","[5, 10, 17, 21, 26, 27, 34, 35]"
684,"Новаяжизнь.Нужнопонять,чтоэтотакое","[5, 11, 16, 23, 26, 29]"
685,Лишьона,[]
686,Жизньиногдавыпускаетжало,"[5, 11, 20]"
687,"Стираяпрошлое,словновирус","[6, 14, 18, 21, 22]"
688,Икхоккеистуженасбежала,"[1, 2, 7, 8, 10, 11, 13, 15]"
689,Инаработеполнешийминус,"[1, 3, 9, 17]"
690,Нонашгерой–несдаётся,"[2, 5, 10, 11, 13]"
691,"Слезыутри,","[5, 6]"
692,Пожизниидётисмеётся,"[2, 7, 11, 12]"
693,"Вотон,смотри","[3, 6]"
694,Онсамыйсчастливыйизнас,"[2, 7, 17, 19]"
695,Избранныйнебесами,[9]
696,ОнВам–нестарыйбаркас,"[2, 5, 6, 8, 14]"
697,Афрегатспарусами,"[1, 7, 8]"
698,Вчёмжепричинатогда?,"[1, 4, 6, 13]"
699,Триобычныестрочки,"[3, 10]"
700,Ждутегодомавсегда,"[4, 7, 11]"
701,Егопапиныдочки,"[3, 9]"
702,Онпомогаетдобрымсоветом,"[2, 10, 16]"
703,Имудрымсловомонлечитдуши,"[2, 7, 13, 15, 20]"
704,"Навсевопросы,онзнаетответы","[2, 5, 13, 15, 20]"
705,"Всегдаподскажет,каксделатьлучше","[6, 16, 19, 26]"
706,Ачтоегождётвпереди?,"[1, 4, 7, 11]"
707,Тамвсёнетакгладко,"[3, 6, 8, 11]"
708,Новсёжеонпобедит,"[2, 5, 7, 9]"
709,Парень–загадка,"[6, 7]"
710,Поминутамосыпается,"[2, 6, 9]"
711,Ожиданиеневозможного,[8]
712,Раннимутромпросыпается,"[6, 11]"
713,Отдвижениянеосторожного.,"[2, 10]"
714,Какмолчаниеледянойзимы,"[3, 11, 18]"
715,"Насзакуталонеизвестностью,","[3, 11]"
716,"Здесьтакдолгодругдругаискалимы,","[5, 8, 13, 17, 22, 23, 28]"
717,"И,конечно,пропалибезвести","[2, 10, 17, 20]"
718,Простится,[]
719,"Нетусил,закрываю,","[2, 3, 8]"
720,"Яглазазакрываю,","[1, 6]"
721,Сквозьтумануплываю,"[6, 8, 11, 12]"
722,Поаллеямстолицы,"[2, 8]"
723,Запотерейпотеря,"[2, 9]"
724,Игодаполетели,"[1, 5]"
725,Задождямиметели,"[2, 9]"
726,Перелетныептицы,[10]
727,Тольконочьюнемогууснуть,"[6, 11, 13, 17]"
728,Странныйхолодвсердцепрячется,"[8, 13, 14, 20]"
729,Чтослучилось?–скажитемнекто-нибудь,"[3, 14, 19, 21, 24, 28]"
730,Толькоосеньвокномнерасплачется,"[6, 11, 12, 17, 19]"
731,Вподоконникмойбьютсягорошины,"[1, 11, 14, 20]"
732,"Тишину,разбиваявесельем,","[7, 15]"
733,Умиралидавнопонемножкумы,"[7, 12, 14, 22]"
734,"И,наверное,былоспасение","[2, 11, 15]"
735,Времясмотритспокойноспрезрением,"[5, 12, 20, 21]"
736,Выменяужеверноневспомните,"[2, 6, 9, 14, 16]"
737,Опоздавшееходитпрозрение,"[1, 10, 15, 18]"
738,Помоейгладковыбритойкомнате,"[2, 6, 14, 20]"
739,Недосказаноинедослушенно,"[11, 12]"
740,Сердцебьетсядругимивершинами,"[6, 12, 19]"
741,"Значитвсебезнадежноразрушено,","[6, 7, 9, 11, 19]"
742,"Нузачемже,зачемпоспешилимы","[2, 7, 10, 15, 24]"
743,"Помню,помнюякакмывстретилисьстобою","[6, 11, 12, 15, 17, 28, 29]"
744,"Былконецдня,тыспросилауменясигареточку","[3, 8, 12, 14, 22, 23, 27, 31]"
745,"Яподумал,чтозафигня","[1, 9, 12, 14]"
746,"Сигареткаосталасьвсегоодна,нуладнона...","[9, 17, 22, 27, 29, 34, 36]"
747,Мыпрожилипятнадцатьлет,"[2, 9, 19]"
748,Новоттеперьтыушлатебянет.,"[2, 5, 11, 13, 17, 21]"
749,Нотыушлавсвоеморанжевомплаще,"[2, 4, 8, 9, 14, 23]"
750,"Нутыдаешьвообще,нутыдаешьвообщеблин!","[2, 4, 9, 16, 18, 20, 25, 31]"
751,Нотыушлаинесказала:яскоровернусь,"[2, 4, 8, 9, 11, 19, 20, 25]"
752,"ЧёжетыделаешьЛюсь,как-жеябудуодин","[4, 6, 13, 18, 21, 22, 24, 25, 29]"
753,"Помню,помнюякакпоулицевесенний,","[6, 11, 12, 15, 17, 22]"
754,"Ястобойгулял,мыкупилибанкупиваидвухлещей","[1, 2, 7, 13, 15, 21, 26, 30, 31]"
755,"Тыбыламолода-красива,","[2, 6, 12, 13]"
756,Ипохожанаапельсинавсвоемновомплаще,"[1, 7, 9, 18, 19, 24, 29]"
757,"Иялюбилтебякаксвою,вотитеперьотебеяпою!","[1, 2, 7, 11, 14, 19, 22, 23, 29, 30, 34, 35]"
758,"Помню,помню,какядарилтебе,чтопопросишь","[6, 12, 15, 16, 21, 26, 29]"
759,"Нокакойжедуракябыл,если-бзнал,чтотыменябросишь","[2, 7, 9, 14, 15, 19, 23, 24, 25, 30, 33, 35, 39, 42]"
760,"Сэкономилбы,иялюбилтебяобожал","[9, 12, 13, 14, 19, 23]"
761,"Нуатымневспинукинжал,охнесладкомне","[2, 3, 5, 8, 9, 14, 17, 21, 23, 25, 29, 31, 32]"
762,"Япригрелнагрудизмею,вотитеперьотебеяпою!","[1, 8, 10, 14, 15, 17, 20, 23, 24, 30, 31, 35, 36]"
763,"Ясмотрюнатебя,","[1, 7, 9]"
764,"Втелевизореты,аянадиване.","[1, 5, 11, 14, 15, 16, 18]"
765,"ВгородеNдожди,","[1, 7, 8]"
766,Замыкание+бах!ивсталитрамваи,"[9, 10, 13, 14, 15, 21, 25, 26, 27]"
767,Травмачерепно-мозговаямоялюбовь!,"[6, 14, 22, 25]"
768,"По-по-понаконаплю,иктебедоплыву,долечу,доеду","[8, 14, 18, 19, 20, 24, 32, 34, 39, 41]"
769,"Рядомстобойпоселюсь,тыбудешьрадатакомусоседу!","[5, 6, 11, 20, 22, 28, 32, 38]"
770,"МыизРоссиинародпростой,ятесразускажуЗдорово!","[2, 4, 10, 12, 15, 23, 24, 26, 31, 36]"
771,"АтыулыбнёшьсяискажешьмнеЯтакждалатебя,Вова!","[1, 3, 13, 14, 21, 24, 25, 28, 29, 33, 38]"
772,"Ятакждалатебя,Вова!","[1, 4, 9, 14]"
773,"Втелевизореты,аянадиване","[1, 5, 11, 14, 15, 16, 18]"
774,"ВгородеNзима,","[1, 7, 8]"
775,Скоровыходывсеивходызавалит,"[5, 11, 14, 15, 20, 22, 26]"
776,"Нуяпридубезкрика,безшума,","[2, 3, 8, 11, 17, 20]"
777,"Нунайдукакой-нибудьповод,","[2, 7, 12, 13, 19]"
778,"СкажуНуздравствуй,Ума,","[5, 18]"
779,"ОнаскажетНуздравствуй,Вова.","[3, 9, 22]"
780,Нунадокак-тоотношениязавязывать,"[2, 6, 12, 21]"
781,ЯскажуНукактытутвообщеживаздорова-то?,"[1, 6, 8, 11, 13, 16, 22, 26, 33, 34]"
782,"Онаскажет:'А,вообще,Володька,хреново!'","[3, 10, 13, 20, 29]"
783,Иначнётрассказывать.,"[1, 7]"
784,"Вот,-скажет,-вчера,кпримеру,приходилТарнтино","[4, 5, 12, 13, 19, 20, 28, 36]"
785,"Нажрался,говорит,исталприставатькомне,здоровеннаядетина.","[9, 17, 18, 22, 32, 34, 38, 49]"
786,ЯтогдаемутакстрогосказалаКвентин!,"[1, 6, 9, 12, 18, 25]"
787,"Может,тыконечно,говорит,инезаметил,","[6, 8, 16, 24, 25, 27]"
788,"Новообще-тояждуВолодькуизРоссии,","[2, 8, 9, 11, 12, 15, 23, 25]"
789,"Атебя,говорит,вообщезаходитьнепросили","[1, 6, 14, 20, 28, 30]"
790,"Воттакаябатва,прикинь?","[3, 8, 14]"
791,Бываетнедосмеха,"[6, 10]"
792,"Вобщем,былотруднобезтебя,Вован.","[1, 7, 11, 17, 20, 25]"
793,"Хорошо,чтоприехал","[7, 10]"
794,"Жил-былнасветеАнтонГородецкий,","[3, 4, 7, 9, 14, 19]"
795,"Бросилажена,онгрустилнепо-детски.","[7, 12, 14, 21, 23]"
796,Пришёлкколдунье:'Ану-канаколдуймне!',"[6, 7, 16, 23, 25, 31]"
797,"'Легко,мойхороший,толькохлопнувладоши,","[7, 10, 18, 24, 30]"
798,"Иженавернётся,оттогоотвернётся,","[1, 3, 5, 14, 16, 20]"
799,Ималенькаяжизньвнутринеёоборвётся.',"[1, 10, 15, 21, 24]"
800,Новдругналетелинаведьмутени,"[2, 7, 9, 15, 17, 22, 23]"
801,"Привидений,говорят:'Небыватьпреступленью'","[11, 19, 22, 28]"
802,"Нучтожеты,чтотыпотупилавзор?","[2, 5, 7, 10, 13, 15, 23, 24]"
803,"Сдавайся,ведьма–«НочнойДозор».","[9, 16, 23]"
804,"Итреснулмирнапополам,дымитразлом,","[1, 8, 11, 13, 15, 21, 24, 25, 26]"
805,"Ильётсякровь,идётвойнадобрасозлом.","[1, 7, 13, 17, 22, 27, 29]"
806,"Имеркнетсвет,вуглахпаукплетётузор,","[4, 5, 8, 13, 14, 19, 23, 28]"
807,Потёмнымулицамлетит«ночнойдозор».,"[2, 8, 14, 19, 26]"
808,"ИпонялАнтоха,чтопоступилплохо,","[1, 6, 13, 16, 24]"
809,"Ито,чторазвелаегоколдунья,каклоха.","[1, 4, 7, 10, 14, 17, 26, 29]"
810,"Носила«иного»вантоновомвзоре,","[2, 6, 13, 14, 23]"
811,"Азначит,онбудетработатьв«дозоре».","[1, 8, 10, 15, 23, 24]"
812,"Годыпрошли,Городецкийнетужит,","[4, 11, 21, 23, 25]"
813,"Водочкуглушит,свампирамидружит.","[7, 14, 15, 18, 24]"
814,Начальникхороший–мудрейшийГесер,"[9, 16, 26]"
815,Былзам.министромinUSSR.,"[3, 7, 16, 18]"
816,"Новотвызывают,нужноехатьскорее,","[2, 5, 14, 19, 24]"
817,Вампир-парикмахерсподружкойсвоею,"[6, 7, 17, 18, 27, 31]"
818,"Влоговоксебезаманилиподростка,","[8, 12, 20]"
819,Решилипоужинатьподлоипросто.,"[6, 15, 18, 20, 21]"
820,"Антохауспел,завязаласьдрака,","[6, 12, 22]"
821,"Согромнымтрудом,новсёжубилвурдалака,","[1, 9, 16, 18, 21, 26, 27, 29, 31]"
822,"Ножницамибылтяжелораненвбою,","[8, 9, 12, 18, 23, 24]"
823,"Присмертибыл,можносказатьнакраю.","[3, 9, 13, 18, 25, 27]"
824,"НодобрыйГесереговылечилбыстро,","[2, 8, 16, 23]"
825,"Ещебы,абыкогонеберутвзамминистры.","[3, 6, 7, 9, 13, 15, 20, 21]"
826,"Адальше-бедазабедой,какпонотам:","[1, 7, 8, 12, 20, 23, 25]"
827,"Вороназалетелавтурбинусамолёта,","[3, 6, 14, 15, 22]"
828,"Натеплоцентраличего-товзорвалось,","[2, 7, 13, 14, 15, 22]"
829,"АСветавиновнавовсёмоказалась,","[1, 6, 13, 19]"
830,"Но,встретивкрасавцаАнтона,влюбилась,","[3, 11, 19, 26]"
831,Иразрушениеостановилось.,"[1, 11]"
832,НозлойЗавулониз«дозорадневного»,"[6, 13, 15, 22]"
833,СделализсынаАнтона«иного».,"[6, 8, 12, 18]"
834,Икаксэтимсправитсянашгерой?,"[1, 4, 5, 9, 18, 21]"
835,Всенапросмотркартинывторой!,"[3, 5, 13, 20]"
836,"Вгазетахписали,чтотыуезжаешь,","[1, 8, 15, 18, 20]"
837,"Чторейснеотменят,чторейснеотложат.","[3, 7, 9, 17, 20, 24, 26]"
838,"Какие-толюдитебяокружают,","[8, 12, 16]"
839,"Аближе,чембыли-уженевозможно.","[1, 7, 10, 14, 15, 18]"
840,"Вкрасивыхжурналахсчитаютпунктиры,","[1, 9, 17, 24]"
841,Ая-доквартирывечернеесальто.,"[1, 2, 3, 5, 13, 21, 22]"
842,"Икривятсягубы,икофепротивен,","[1, 9, 14, 15, 19]"
843,"Иновоеутро,иновое'неттебя...'","[1, 6, 11, 12, 17, 18, 21]"
844,Япоасфальтушагаю,"[1, 3, 11]"
845,"Стем,когосберечьнесмогу.","[1, 5, 9, 16, 18]"
846,"Доостановкитрамвая,","[2, 11]"
847,Звенящегонабегу.,"[9, 11]"
848,"Вгазетахписали,чтоты-идиотка,","[1, 8, 15, 18, 20, 21]"
849,Вовсёмвиноватапроклятаяводка.,"[2, 6, 14, 23]"
850,"Ругаешьсяматом,ипесеннепишешь,","[9, 15, 16, 21, 23]"
851,"Тебяокружаютнелюди,амыши.","[4, 12, 14, 19, 20]"
852,Такоеневыдуматьдаженарошно.,"[5, 7, 15, 19]"
853,"Аякаждыйвечерползудоквартиры,","[1, 2, 8, 13, 18, 20]"
854,"Иближе,чембыли-уженевозможно.","[1, 7, 10, 14, 15, 18]"
855,"Измученныйдорогой,явыбилсяизсил.","[10, 18, 19, 26, 28]"
856,Ивдомелесникаяночлегапопросил.,"[1, 2, 6, 13, 14, 21]"
857,Сулыбкойдобродушнойстарикменявпустил.,"[1, 8, 19, 25, 29]"
858,Ижестомдружелюбнымнаужинпригласил.,"[1, 3, 4, 7, 12, 18, 20, 22, 24]"
859,"Будькакдома,путник,янивчёмнеоткажу,","[4, 7, 12, 19, 20, 22, 23, 26, 28]"
860,"Янивчемнеоткажу,янивчёмнеоткажу!","[1, 3, 4, 7, 9, 16, 17, 19, 20, 23, 25]"
861,"Множествоисторий,кольжелаешь,расскажу,","[9, 17, 21, 29]"
862,"Кольжелаешь,расскажу,","[4, 12]"
863,"Кольжелаешь,расскажу!","[4, 12]"
864,"Наулицетемнело,сиделязастолом.","[2, 7, 9, 15, 21, 23]"
865,"Лесниксиделнапротив,болталотом,осём.","[6, 11, 20, 26, 27, 31, 32]"
866,"Чтонетсредиживотныхустарикаврагов,","[3, 6, 11, 19, 20, 27]"
867,Чтонравитсяемуподкармливатьволков.,"[3, 11, 14, 27]"
868,Иволкисрединочизавылиподокном.,"[1, 6, 11, 15, 21, 24]"
869,Старикзаулыбалсяивдругпокинулдом.,"[6, 8, 16, 17, 22, 29]"
870,Новскоревозвратилсясружьёмнаперевес:,"[2, 8, 19, 20, 26, 28]"
871,"'Друзьяхотятпокушать,пойдём,приятель,влес!'","[7, 12, 21, 28, 37, 38]"
872,Яшёлксебедомой,"[1, 4, 5, 9]"
873,Яшёлпомокрымлужам,"[1, 4, 6, 12]"
874,Поскользкоймостовой,[11]
875,Ногамиснегутюжил,"[5, 6, 7, 11, 13]"
876,Амокрыйснегпадал,"[1, 7, 11]"
877,Аяшёлдомой,"[1, 2, 5]"
878,Позимнемусаду,"[2, 9]"
879,Попустоймостовой,[8]
880,Оншёлсомнойрядом,"[2, 5, 7, 11]"
881,Шпионилзамной,"[7, 9]"
882,Следилзамнойвзглядом,"[6, 8, 12]"
883,Бесшумныйконвой,[9]
884,Ивотястою,"[1, 4, 5, 6]"
885,Накраюснегопада,"[2, 6, 11]"
886,Снебападаетснег,"[5, 11, 12]"
887,Значитнебутакнадо,"[6, 10, 13]"
888,Вэтотрудноповерить,"[1, 4, 10]"
889,Явернулсядомой,"[1, 9]"
890,Тыоткрыламнедвери,"[2, 9, 12]"
891,Снегвошёлвследзамной,"[4, 9, 10, 14, 16]"
892,Ивдругснеграстаял,"[1, 6, 7, 12, 16]"
893,Увиделтебя,[6]
894,Напорогеостались,"[2, 8]"
895,Толькокаплидождя,"[6, 10, 11]"
896,Насуноситрека,"[2, 3, 7, 8, 9]"
897,Плавныхвёселволнами,"[7, 12]"
898,Словнокто-тооткрыл,"[6, 12]"
899,Всенебесныекраны,"[3, 11]"
900,Мыстоимнакраю,"[2, 7, 9]"
901,Накраюводопада,"[2, 6, 9]"
902,Снебальётсявода,"[5, 11]"
903,Заморямиестьлимоновыйсад,"[2, 8, 12, 14, 16, 21]"
904,Янайдулимонибудурад,"[1, 6, 9, 12, 16]"
905,Нотебенедамнесмейменявинить,"[2, 6, 8, 11, 13, 17, 21]"
906,Посмотритедочегоонхорош,"[10, 12, 16, 18]"
907,Нонадорогетыегоненайдешь,"[2, 4, 10, 12, 15, 17]"
908,Попробуйсделайсамнебудуятебяучить,"[2, 8, 14, 17, 19, 23, 24, 28]"
909,Растутлимонынавысокихгорах,"[6, 8, 12, 14, 21]"
910,Накрутыхберегахдлякрутых,"[2, 8, 15, 18]"
911,Корочетынедостанешь,"[8, 10]"
912,Явижуцельязалимономдотянутьсяхочу,"[1, 5, 10, 12, 19, 29]"
913,Язалимономлечуикрутизнойнаслаждаюсь,"[1, 3, 6, 10, 14, 15, 19, 24, 26]"
914,СтранаЛимониястранабеззабот,"[6, 13, 19, 22]"
